,open,high,low,close,volume,date,coin,SMA20,SMA200,varianza
0,0.0700085,0.0701055,0.069359,0.070054,294765.04659,2022-08-01 03:00:00+00:00,DOGE/USD,,,0.0007464999999999972
1,0.070054,0.0703555,0.069715,0.0701775,256775.650475,2022-08-01 04:00:00+00:00,DOGE/USD,,,0.0006405000000000022
2,0.0701775,0.0706465,0.0691415,0.06958,349879.760927,2022-08-01 05:00:00+00:00,DOGE/USD,,,0.0015050000000000063
3,0.06958,0.0697315,0.0686735,0.069191,232964.4706765,2022-08-01 06:00:00+00:00,DOGE/USD,,,0.0010580000000000034
4,0.069196,0.0695405,0.068486,0.0695065,181711.711922,2022-08-01 07:00:00+00:00,DOGE/USD,,,0.0010544999999999999
5,0.0695065,0.0695775,0.068943,0.0690985,85115.482693,2022-08-01 08:00:00+00:00,DOGE/USD,,,0.0006344999999999962
6,0.0690985,0.0694385,0.068967,0.0691625,111211.210294,2022-08-01 09:00:00+00:00,DOGE/USD,,,0.0004714999999999997
7,0.0691625,0.0692145,0.0678675,0.0679825,439402.9404405,2022-08-01 10:00:00+00:00,DOGE/USD,,,0.001347000000000001
8,0.0679825,0.0686085,0.067667,0.068573,186103.106873,2022-08-01 11:00:00+00:00,DOGE/USD,,,0.0009414999999999979
9,0.068573,0.068986,0.0679445,0.068135,175453.8997965,2022-08-01 12:00:00+00:00,DOGE/USD,,,0.0010415000000000008
10,0.068135,0.0689,0.06759,0.068673,337501.920042,2022-08-01 13:00:00+00:00,DOGE/USD,,,0.0013100000000000056
11,0.068673,0.069685,0.0685925,0.0694395,315070.5701345,2022-08-01 14:00:00+00:00,DOGE/USD,,,0.0010924999999999963
12,0.0694395,0.069506,0.068626,0.0690365,194508.8726095,2022-08-01 15:00:00+00:00,DOGE/USD,,,0.0008799999999999919
13,0.0690365,0.069057,0.068238,0.068333,273771.9648875,2022-08-01 16:00:00+00:00,DOGE/USD,,,0.0008190000000000003
14,0.068333,0.069509,0.0668585,0.067651,1573847.984651,2022-08-01 17:00:00+00:00,DOGE/USD,,,0.0026505
15,0.067651,0.0677295,0.067274,0.067668,326937.5752475,2022-08-01 18:00:00+00:00,DOGE/USD,,,0.0004554999999999976
16,0.067668,0.067889,0.067279,0.0676865,496429.087036,2022-08-01 19:00:00+00:00,DOGE/USD,,,0.0006099999999999994
17,0.0676865,0.0683715,0.0675965,0.0683715,333696.0651725,2022-08-01 20:00:00+00:00,DOGE/USD,,,0.0007749999999999979
18,0.0683715,0.0684385,0.067849,0.068056,195494.8594205,2022-08-01 21:00:00+00:00,DOGE/USD,,,0.0005894999999999928
19,0.068056,0.0686285,0.067466,0.068478,187682.308624,2022-08-01 22:00:00+00:00,DOGE/USD,0.0,,0.0011624999999999969
20,0.068478,0.0688565,0.0682855,0.0684815,278105.415504,2022-08-01 23:00:00+00:00,DOGE/USD,0.0,,0.0005710000000000021
21,0.0684815,0.069169,0.068091,0.068217,450427.898607,2022-08-02 00:00:00+00:00,DOGE/USD,0.0,,0.0010779999999999956
22,0.068217,0.0688285,0.067167,0.067514,263041.5750435,2022-08-02 01:00:00+00:00,DOGE/USD,0.0,,0.0016614999999999963
23,0.067514,0.067704,0.066514,0.0667905,250550.236392,2022-08-02 02:00:00+00:00,DOGE/USD,0.0,,0.0011899999999999966
24,0.0667905,0.0667905,0.0657095,0.065971,542703.215125,2022-08-02 03:00:00+00:00,DOGE/USD,0.0,,0.0010809999999999986
25,0.065971,0.066223,0.065468,0.0659865,267351.2449445,2022-08-02 04:00:00+00:00,DOGE/USD,0.0,,0.0007550000000000057
26,0.0659865,0.0664105,0.065958,0.0660995,123248.70132,2022-08-02 05:00:00+00:00,DOGE/USD,0.0,,0.0004524999999999946
27,0.0660995,0.0667135,0.066083,0.0665885,183787.6717025,2022-08-02 06:00:00+00:00,DOGE/USD,0.0,,0.0006304999999999922
28,0.066615,0.066648,0.066062,0.0665185,212321.8154305,2022-08-02 07:00:00+00:00,DOGE/USD,0.0,,0.0005860000000000032
29,0.0665185,0.066639,0.0659965,0.066076,230453.3745955,2022-08-02 08:00:00+00:00,DOGE/USD,0.0,,0.0006425000000000042
30,0.066076,0.066244,0.0655765,0.066001,123481.380726,2022-08-02 09:00:00+00:00,DOGE/USD,0.0,,0.0006675000000000014
31,0.066001,0.0667265,0.065769,0.066495,110940.2268265,2022-08-02 10:00:00+00:00,DOGE/USD,0.0,,0.0009575
32,0.066498,0.066938,0.0664,0.066643,167346.6487245,2022-08-02 11:00:00+00:00,DOGE/USD,0.0,,0.0005379999999999968
33,0.066643,0.066809,0.0658855,0.066165,282928.3516455,2022-08-02 12:00:00+00:00,DOGE/USD,0.0,,0.0009234999999999938
34,0.066162,0.066766,0.066127,0.066453,175949.122755,2022-08-02 13:00:00+00:00,DOGE/USD,0.0,,0.0006390000000000007
35,0.066453,0.067516,0.065799,0.0673345,346464.756935,2022-08-02 14:00:00+00:00,DOGE/USD,0.0,,0.0017170000000000102
36,0.0673345,0.0676255,0.0666345,0.067391,378561.8134825,2022-08-02 15:00:00+00:00,DOGE/USD,0.0,,0.0009910000000000058
37,0.067391,0.068487,0.067293,0.0683635,561450.3078395,2022-08-02 16:00:00+00:00,DOGE/USD,0.0,,0.0011940000000000006
38,0.0683635,0.0684395,0.0674155,0.0676465,369387.197283,2022-08-02 17:00:00+00:00,DOGE/USD,0.0,,0.0010239999999999971
39,0.0676465,0.067977,0.0670505,0.0670635,251226.382751,2022-08-02 18:00:00+00:00,DOGE/USD,0.0,,0.0009264999999999968
